Id,Time,Machine,Component,Parameter,Value
1,01-05-2022 00:00,Excavator_1,Fuel,Temparature,499.91
2,01-05-2022 00:10,Backhoe_Loader_1,Drive,Pedal Sensor,0.9
3,01-05-2022 00:20,Backhoe_Loader_1,Engine,Oil Pressure,89.4
4,01-05-2022 00:30,Excavator_1,Fuel,Fuel Level,4.68
5,01-05-2022 00:40,Articulated_Truck_1,Engine,Temparature,397.59
6,01-05-2022 00:50,Articulated_Truck_1,Fuel,Fuel Pressure,133.22
7,01-05-2022 01:00,Excavator_1,Drive,Transmission Pressure,864.65
8,01-05-2022 01:10,Articulated_Truck_1,Drive,Brake Control,2.02
9,01-05-2022 01:20,Excavator_1,Drive,Transmission Pressure,823.55
10,01-05-2022 01:30,Excavator_1,Engine,Oil Pressure,142.34
11,01-05-2022 01:40,Articulated_Truck_1,Fuel,Water in Fuel,293.2
12,01-05-2022 01:50,Excavator_1,Drive,Transmission Pressure,800.16
13,01-05-2022 02:00,Articulated_Truck_1,Engine,Oil Pressure,144.49
14,01-05-2022 02:10,Dozer_1,Misc,Exhaust Gas Temparature,933.26
15,01-05-2022 02:20,Excavator_1,Engine,Oil Pressure,99.3
16,01-05-2022 02:30,Dozer_1,Fuel,Temparature,703.88
17,01-05-2022 02:40,Backhoe_Loader_1,Engine,Speed,3921.2
18,01-05-2022 02:50,Backhoe_Loader_1,Drive,Brake Control,1.53
19,01-05-2022 03:00,Dozer_1,Misc,Exhaust Gas Temparature,1612.52
20,01-05-2022 03:10,Dozer_1,Fuel,Water in Fuel,705.67
21,01-05-2022 03:20,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,1844.19
22,01-05-2022 03:30,Backhoe_Loader_1,Misc,System Voltage,74.68
23,01-05-2022 03:40,Articulated_Truck_1,Misc,System Voltage,22.39
24,01-05-2022 03:50,Articulated_Truck_1,Fuel,Water in Fuel,1790.53
25,01-05-2022 04:00,Excavator_1,Engine,Oil Pressure,43.76
26,01-05-2022 04:10,Backhoe_Loader_1,Fuel,Fuel Pressure,167.96
27,01-05-2022 04:20,Articulated_Truck_1,Fuel,Temparature,542.03
28,01-05-2022 04:30,Excavator_1,Misc,Exhaust Gas Temparature,1175.97
29,01-05-2022 04:40,Articulated_Truck_1,Engine,Oil Pressure,23.33
30,01-05-2022 04:50,Dozer_1,Drive,Brake Control,1.43
31,01-05-2022 05:00,Articulated_Truck_1,Misc,System Voltage,46.96
32,01-05-2022 05:10,Dozer_1,Engine,Speed,1731.71
33,01-05-2022 05:20,Dozer_1,Misc,System Voltage,51.01
34,01-05-2022 05:30,Dozer_1,Engine,Speed,5846.57
35,01-05-2022 05:40,Excavator_1,Engine,Oil Pressure,30.08
36,01-05-2022 05:50,Excavator_1,Drive,Brake Control,2.38
37,01-05-2022 06:00,Excavator_1,Misc,Air Filter Pressure,14.61
38,01-05-2022 06:10,Excavator_1,Fuel,Fuel Pressure,40.57
39,01-05-2022 06:20,Articulated_Truck_1,Engine,Speed,2735.27
40,01-05-2022 06:30,Dozer_1,Drive,Pedal Sensor,22.36
41,01-05-2022 06:40,Dozer_1,Misc,Hydraulic Pump Rate,371.61
42,01-05-2022 06:50,Excavator_1,Engine,Speed,5346.65
43,01-05-2022 07:00,Backhoe_Loader_1,Drive,Brake Control,2.97
44,01-05-2022 07:10,Dozer_1,Misc,Air Filter Pressure,35.2
45,01-05-2022 07:20,Excavator_1,Drive,Brake Control,0.93
46,01-05-2022 07:30,Articulated_Truck_1,Drive,Transmission Pressure,1917.46
47,01-05-2022 07:40,Excavator_1,Drive,Pedal Sensor,23.87
48,01-05-2022 07:50,Dozer_1,Drive,Pedal Sensor,27.62
49,01-05-2022 08:00,Dozer_1,Misc,Exhaust Gas Temparature,964.6
50,01-05-2022 08:10,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,1391.73
51,01-05-2022 08:20,Dozer_1,Drive,Transmission Pressure,705.78
