Time,Machine,Drive_Brake Control,Drive_Pedal Sensor,Drive_Transmission Pressure,Engine_Oil Pressure,Engine_Speed,Engine_Temparature,Fuel_Level,Fuel_Pressure,Fuel_Temparature,Fuel_Water in Fuel,Misc_Air Filter Pressure,Misc_Exhaust Gas Temparature,Misc_Hydraulic Pump Rate,Misc_System Voltage
2022-05-01 00:00:00,Dozer_1,0.0,0.0,677.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 00:10:00,Excavator_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32,0.0,0.0,0.0
2022-05-01 00:20:00,Excavator_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.95,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 00:30:00,Dozer_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.23
2022-05-01 00:40:00,Excavator_1,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 00:50:00,Dozer_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.63,0.0,0.0,0.0,0.0,0.0
2022-05-01 01:00:00,Excavator_1,0.0,0.0,0.0,69.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 01:10:00,Backhoe_Loader_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.77,0.0,0.0
2022-05-01 01:20:00,Excavator_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.03,0.0,0.0,0.0,0.0,0.0
2022-05-01 01:30:00,Dozer_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.85,0.0,0.0,0.0
2022-05-01 01:40:00,Dozer_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.42,0.0
2022-05-01 01:50:00,Backhoe_Loader_1,0.0,0.0,0.0,0.0,0.0,301.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 02:00:00,Excavator_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.13,0.0
2022-05-01 02:10:00,Backhoe_Loader_1,0.0,0.0,1130.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 02:20:00,Backhoe_Loader_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.6,0.0
2022-05-01 02:30:00,Backhoe_Loader_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83
2022-05-01 02:40:00,Articulated_Truck_1,0.0,0.0,0.0,0.0,0.0,66.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 02:50:00,Dozer_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.14,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 03:00:00,Articulated_Truck_1,0.0,10.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 03:10:00,Articulated_Truck_1,0.0,0.0,1267.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 03:20:00,Articulated_Truck_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.7,0.0,0.0
2022-05-01 03:30:00,Backhoe_Loader_1,0.0,0.0,0.0,0.0,2010.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 03:40:00,Excavator_1,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 03:50:00,Backhoe_Loader_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.59,0.0
2022-05-01 04:00:00,Articulated_Truck_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.94,0.0,0.0,0.0
2022-05-01 04:10:00,Dozer_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.83,0.0,0.0,0.0,0.0,0.0
2022-05-01 04:20:00,Dozer_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.14,0.0
2022-05-01 04:30:00,Articulated_Truck_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.37,0.0,0.0,0.0,0.0,0.0
2022-05-01 04:40:00,Articulated_Truck_1,0.0,0.0,0.0,124.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 04:50:00,Articulated_Truck_1,0.0,16.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 05:00:00,Dozer_1,0.0,0.0,0.0,0.0,1926.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 05:10:00,Dozer_1,0.0,0.0,0.0,0.0,0.0,765.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 05:20:00,Excavator_1,0.0,0.0,0.0,0.0,141.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 05:30:00,Excavator_1,0.0,0.0,0.0,0.0,0.0,73.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 05:40:00,Dozer_1,0.0,0.0,0.0,122.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 05:50:00,Dozer_1,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 06:00:00,Excavator_1,0.0,0.0,1152.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 06:10:00,Excavator_1,0.0,0.0,0.0,0.0,0.0,0.0,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01 06:20:00,Backhoe_Loader_1,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
